Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 15, 10, 375, [7 5 2 5 5 5 5 ], 78.0, 0.0
5, 16, 9, 375, [4 1 0 1 3 7 5 ], 71.0, 0.0
16, 18, 5, 378, [7 3 0 5 0 3 7 ], 50.0, 7.0
2, 15, 10, 375, [7 5 2 5 5 5 5 ], 77.0, 0.0
6, 18, 9, 377, [4 1 0 1 3 7 5 ], 62.0, 0.0
17, 18, 5, 378, [7 3 0 5 0 3 7 ], 49.0, 7.0
3, 15, 10, 375, [7 5 2 5 5 5 5 ], 76.0, 0.0
7, 20, 9, 375, [4 1 0 1 3 7 5 ], 55.0, 0.0
18, 18, 5, 378, [7 3 0 5 0 3 7 ], 48.0, 7.0
4, 16, 10, 376, [7 5 2 5 5 5 5 ], 70.0, 0.0
8, 22, 9, 374, [4 1 0 1 3 7 5 ], 49.0, 0.0
19, 17, 5, 379, [5 6 4 4 6 3 7 ], 50.0, 7.0
5, 17, 10, 375, [7 5 2 5 5 5 5 ], 65.0, 0.0
9, 23, 9, 371, [3 2 1 0 1 4 0 ], 45.0, 0.0
6, 17, 10, 374, [7 5 2 5 5 5 5 ], 64.0, 0.0
10, 23, 8, 371, [3 2 1 0 1 4 0 ], 45.0, 0.0
7, 17, 9, 374, [7 5 2 5 5 5 5 ], 64.0, 0.0
11, 22, 8, 370, [3 2 1 0 1 4 0 ], 45.0, 4.0
8, 18, 9, 375, [7 5 2 5 5 5 5 ], 59.0, 0.0
12, 20, 8, 372, [4 1 0 1 3 7 5 ], 48.0, 6.0
9, 18, 9, 373, [7 5 2 5 5 5 5 ], 58.0, 0.0
13, 19, 8, 373, [3 2 1 0 1 4 0 ], 49.0, 6.0
10, 18, 9, 373, [6 5 0 4 0 3 7 ], 57.0, 0.0
14, 18, 8, 374, [4 1 0 1 3 7 5 ], 51.0, 6.0
11, 17, 8, 375, [6 5 0 4 0 3 7 ], 60.0, 7.0
15, 19, 8, 375, [4 1 0 1 3 7 5 ], 46.0, 6.0
12, 17, 8, 375, [6 5 0 4 0 3 7 ], 59.0, 7.0
16, 19, 7, 376, [4 1 0 1 3 7 5 ], 46.0, 7.0
13, 17, 7, 376, [6 5 0 4 0 3 7 ], 59.0, 7.0
17, 17, 7, 376, [4 1 0 1 3 7 5 ], 50.0, 7.0
