Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 25, 9, 366, [5 1 2 1 2 2 1 ], 19.0, 0.0
2, 25, 14, 361, [5 1 2 1 2 2 1 ], 18.0, 0.0
3, 26, 16, 360, [5 1 2 1 2 2 1 ], 17.0, 0.0
4, 27, 20, 355, [5 1 2 1 2 2 1 ], 15.0, 0.0
5, 27, 24, 349, [5 1 2 1 2 2 1 ], 13.0, 0.0
6, 27, 26, 347, [7 5 7 6 7 0 5 ], 13.0, 0.0
7, 27, 29, 346, [7 5 7 6 7 0 5 ], 12.0, 0.0
8, 27, 33, 342, [7 5 7 6 7 0 5 ], 11.0, 7.0
9, 28, 37, 337, [7 5 7 6 7 0 5 ], 11.0, 7.0
10, 27, 42, 332, [7 5 7 6 7 0 5 ], 10.0, 8.0
11, 28, 44, 334, [5 7 2 3 1 0 4 ], 9.0, 9.0
12, 25, 44, 332, [5 7 2 3 1 0 4 ], 13.0, 10.0
13, 24, 44, 334, [5 7 2 3 1 0 4 ], 15.0, 10.0
14, 23, 47, 330, [5 7 2 3 1 0 4 ], 15.0, 11.0
15, 20, 51, 331, [5 7 2 3 1 0 4 ], 17.0, 11.0
16, 15, 51, 335, [5 7 2 3 1 0 4 ], 26.0, 12.0
