Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 21, 12, 119, [1 7 4 3 7 0 3 ], 74.0, 0.0
2, 23, 14, 119, [1 7 4 3 7 0 3 ], 67.0, 0.0
3, 24, 19, 109, [1 7 4 3 7 0 3 ], 63.0, 0.0
4, 30, 20, 114, [1 7 4 3 7 0 3 ], 49.0, 0.0
5, 34, 22, 105, [3 6 2 7 3 6 2 ], 42.0, 0.0
6, 38, 24, 101, [3 6 2 7 3 6 2 ], 37.0, 0.0
7, 42, 25, 97, [0 6 2 4 0 6 2 ], 32.0, 0.0
8, 45, 21, 99, [0 6 2 4 0 6 2 ], 30.0, 7.0
9, 48, 18, 99, [0 6 2 4 0 6 2 ], 27.0, 5.0
10, 49, 20, 99, [0 6 2 4 0 6 2 ], 26.0, 5.0
11, 49, 20, 96, [0 6 2 4 0 6 2 ], 25.0, 6.0
12, 50, 20, 100, [0 6 2 4 0 6 2 ], 23.0, 6.0
13, 52, 22, 95, [0 6 2 4 0 6 2 ], 21.0, 6.0
14, 52, 18, 97, [2 6 3 3 0 7 2 ], 21.0, 7.0
15, 52, 14, 102, [2 6 3 3 0 7 2 ], 20.0, 7.0
16, 49, 15, 100, [2 6 3 3 0 7 2 ], 20.0, 7.0
17, 48, 13, 101, [2 6 3 3 0 7 2 ], 19.0, 7.0
18, 46, 15, 101, [2 6 3 3 0 7 2 ], 19.0, 7.0
19, 41, 14, 104, [2 6 3 3 0 7 2 ], 21.0, 8.0
20, 42, 14, 103, [2 6 3 3 0 7 2 ], 19.0, 7.0
21, 39, 17, 104, [2 6 3 3 0 7 2 ], 19.0, 8.0
22, 38, 17, 104, [2 6 3 3 0 7 2 ], 19.0, 8.0
23, 34, 19, 103, [2 6 3 3 0 7 2 ], 20.0, 8.0
24, 31, 21, 106, [1 7 4 3 7 0 3 ], 21.0, 8.0
25, 30, 24, 103, [1 7 4 3 7 0 3 ], 20.0, 8.0
26, 29, 24, 104, [1 7 4 3 7 0 3 ], 20.0, 9.0
27, 29, 25, 105, [0 7 4 5 4 0 7 ], 19.0, 9.0
28, 28, 27, 99, [0 7 4 5 4 0 7 ], 19.0, 10.0
29, 29, 31, 96, [0 7 4 5 4 0 7 ], 17.0, 10.0
30, 28, 28, 99, [0 7 4 5 4 0 7 ], 18.0, 10.0
31, 27, 28, 99, [0 7 4 5 4 0 7 ], 18.0, 10.0
32, 26, 24, 106, [0 7 4 5 4 0 7 ], 18.0, 10.0
33, 26, 26, 102, [0 7 4 5 4 0 7 ], 17.0, 10.0
34, 28, 24, 105, [0 7 4 5 4 0 7 ], 16.0, 10.0
35, 27, 25, 102, [3 2 0 6 0 0 5 ], 15.0, 10.0
36, 26, 28, 102, [3 2 0 6 0 0 5 ], 15.0, 10.0
37, 28, 32, 99, [3 2 0 6 0 0 5 ], 13.0, 10.0
38, 26, 33, 97, [3 2 0 6 0 0 5 ], 13.0, 10.0
39, 26, 33, 98, [3 2 0 6 0 0 5 ], 13.0, 11.0
40, 27, 33, 99, [3 2 0 6 0 0 5 ], 12.0, 11.0
41, 28, 34, 97, [3 2 0 6 0 0 5 ], 11.0, 11.0
42, 28, 35, 99, [3 2 0 6 0 0 5 ], 10.0, 11.0
43, 26, 35, 94, [3 2 0 6 0 0 5 ], 10.0, 11.0
44, 25, 36, 94, [3 2 0 6 0 0 5 ], 10.0, 11.0
45, 24, 37, 93, [3 2 0 6 0 0 5 ], 10.0, 11.0
46, 23, 38, 94, [5 6 4 6 6 0 2 ], 10.0, 12.0
47, 23, 36, 94, [5 6 4 6 6 0 2 ], 10.0, 12.0
